1,Abilene Christian,31,13,18,.419,-13.73,-7.32,8,10,10,5,2,12,2209,2272,,1250,771,1704,.452,209,570,.367,458,653,.701,269,991,422,233,78,418,681
2,Air Force,32,14,18,.438,-5.48,0.69,5,13,12,5,2,13,2189,2330,,1300,752,1758,.428,202,596,.339,483,707,.683,283,1107,420,196,58,422,617
3,Akron,34,26,8,.765,5.89,-1.39,13,5,15,0,6,7,2619,2309,,1360,888,2041,.435,400,1027,.389,443,639,.693,357,1267,497,184,133,370,601
4,Alabama A&M,29,11,18,.379,-13.25,-10.54,6,12,6,5,4,12,1974,2042,,1175,681,1632,.417,175,599,.292,439,642,.684,330,1000,366,163,61,338,561
5,Alabama-Birmingham,32,26,6,.813,3.88,-3.48,16,2,16,0,10,3,2527,2226,,1300,916,1910,.480,238,642,.371,457,637,.717,359,1231,590,207,196,400,566
6,Alabama State,31,14,17,.452,-12.83,-9.07,9,9,8,3,5,12,2217,2308,,1260,788,1918,.411,215,647,.332,426,623,.684,389,1154,372,181,107,371,646
7,Alabama,32,18,14,.563,7.84,8.81,8,10,10,4,5,7,2139,2170,,1290,721,1690,.427,251,732,.343,446,697,.640,313,1110,338,180,168,426,617
8,Albany (NY),32,24,8,.750,1.18,-7.73,13,3,14,1,10,7,2405,2086,,1290,812,1770,.459,180,561,.321,601,803,.748,376,1228,399,212,52,404,560
9,Alcorn State,30,15,15,.500,-15.78,-9.71,13,5,9,2,6,9,2014,2164,,1225,691,1692,.408,174,566,.307,458,676,.678,384,1072,272,134,111,427,548
10,American,31,12,19,.387,-13.90,-5.80,9,9,5,7,7,12,1785,2036,,1250,631,1487,.424,195,572,.341,328,471,.696,218,874,348,176,69,422,566
11,Appalachian State,31,9,22,.290,-7.73,-0.92,7,13,6,7,2,12,2187,2398,,1240,719,1795,.401,256,720,.356,493,701,.703,393,1142,357,127,103,461,666
12,Arizona State,32,15,17,.469,8.68,9.37,5,13,11,6,3,9,2345,2367,,1290,796,1919,.415,254,757,.336,499,726,.687,394,1177,405,170,86,384,649
13,Arizona,33,25,8,.758,19.50,7.29,12,6,17,1,5,5,2680,2277,,1350,926,1922,.482,215,562,.383,613,848,.723,384,1329,478,162,158,421,599
14,Arkansas-Little Rock,32,28,4,.875,6.63,-2.98,17,3,14,0,12,4,2271,1918,,1285,810,1775,.456,243,623,.390,408,557,.732,293,1082,423,208,103,336,594
15,Arkansas-Pine Bluff,33,8,25,.242,-18.98,-5.19,6,12,3,6,4,17,1867,2322,,1325,674,1722,.391,202,666,.303,317,519,.611,322,1004,317,235,123,515,723
16,Arkansas State,31,11,20,.355,-7.29,-2.18,7,13,9,6,2,14,2282,2353,,1260,770,1873,.411,180,570,.316,562,766,.734,334,1243,381,157,136,398,613
17,Arkansas,32,16,16,.500,10.68,7.21,9,9,13,4,3,8,2501,2390,,1305,883,1992,.443,216,544,.397,519,748,.694,374,1187,518,233,165,356,687
18,Army,32,19,13,.594,-6.72,-8.01,9,9,7,8,11,5,2474,2395,,1310,870,2020,.431,284,844,.336,450,647,.696,396,1301,488,160,117,433,612
19,Auburn,31,11,20,.355,0.57,7.96,5,13,8,7,2,11,2192,2421,,1245,724,1820,.398,272,799,.340,472,746,.633,346,1134,352,166,126,427,658
20,Austin Peay,35,18,17,.514,-5.90,-3.53,7,9,7,7,7,9,2661,2660,,1420,920,1988,.463,219,630,.348,602,899,.670,407,1289,473,242,101,489,610
21,Ball State,32,19,13,.594,0.28,-2.91,10,8,12,6,5,7,2251,2116,,1295,777,1738,.447,275,735,.374,422,612,.690,291,1147,471,177,120,413,606
22,Baylor,33,22,11,.667,17.07,10.38,10,8,15,5,6,5,2546,2287,,1335,903,1935,.467,204,556,.367,536,737,.727,453,1235,587,260,133,425,636
23,Belmont,31,20,11,.645,1.27,-2.43,12,4,11,1,8,9,2554,2417,,1245,888,1794,.495,324,894,.362,454,629,.722,266,1077,532,140,77,438,615
24,Bethune-Cookman,32,14,18,.438,-14.03,-8.86,10,6,9,2,5,13,2258,2330,,1295,799,1932,.414,249,787,.316,411,597,.688,407,1186,371,197,191,412,601
25,Binghamton,30,8,22,.267,-13.91,-6.17,5,11,5,9,3,13,1827,2059,,1205,629,1614,.390,171,599,.285,398,584,.682,273,1023,333,161,68,418,558
26,Boise State,32,20,12,.625,7.25,3.15,11,7,14,2,5,7,2480,2246,,1290,842,1859,.453,261,788,.331,535,755,.709,315,1110,430,209,64,371,622
27,Boston College,32,7,25,.219,-1.46,7.83,0,18,6,11,0,10,1959,2256,,1285,717,1752,.409,230,712,.323,295,453,.651,243,997,410,181,93,427,579
28,Boston University,32,18,14,.563,-6.67,-6.47,11,7,9,6,9,8,2342,2315,,1295,813,1787,.455,252,694,.363,464,649,.715,293,1153,432,183,122,435,609
29,Bowling Green State,34,16,18,.471,-5.70,-1.67,5,13,7,8,7,8,2400,2457,,1360,849,1913,.444,203,563,.361,499,761,.656,346,1238,398,209,113,430,655
30,Bradley,32,5,27,.156,-10.91,3.71,3,15,4,11,1,12,1793,2238,,1290,606,1596,.380,165,590,.280,416,628,.662,277,1083,292,142,87,540,744
31,Brigham Young,33,23,10,.697,12.09,1.62,13,5,14,2,6,6,2758,2382,,1325,979,2118,.462,294,774,.380,506,735,.688,398,1356,545,219,140,383,624
32,Brown,28,8,20,.286,-8.07,-2.85,3,11,7,6,1,13,2040,2155,,1140,697,1625,.429,225,639,.352,421,600,.702,272,1019,414,150,114,373,543
33,Bryant,31,8,23,.258,-18.29,-6.42,5,13,4,10,4,13,2018,2361,,1250,755,1798,.420,198,615,.322,310,482,.643,300,1048,415,176,83,418,591
34,Bucknell,30,17,13,.567,-1.72,-5.99,14,4,8,7,9,6,2368,2198,,1225,803,1725,.466,223,608,.367,539,754,.715,311,1101,475,197,98,414,641
35,Buffalo,34,20,14,.588,1.29,0.63,10,8,10,5,5,9,2637,2555,,1370,892,2037,.438,253,750,.337,600,845,.710,418,1332,433,236,123,465,722
36,Butler,31,21,10,.677,16.23,6.81,10,8,13,3,5,5,2498,2206,,1245,868,1864,.466,220,569,.387,542,741,.731,354,1132,445,210,104,320,615
37,Cal Poly,30,10,20,.333,-3.16,1.23,4,12,5,7,3,12,2171,2255,,1220,755,1812,.417,238,681,.349,423,626,.676,352,1095,425,163,96,309,602
38,Cal State Bakersfield,32,24,8,.750,2.75,-5.74,11,3,14,1,7,7,2337,2022,,1290,849,1881,.451,174,506,.344,465,712,.653,400,1228,501,257,162,390,686
39,Cal State Fullerton,30,10,20,.333,-6.87,-0.51,3,13,5,8,5,9,2104,2227,,1205,698,1703,.410,193,582,.332,515,743,.693,335,1116,304,147,48,392,610
40,Cal State Northridge,30,10,20,.333,-6.56,-0.56,5,11,5,7,4,12,2143,2261,,1225,745,1723,.432,126,425,.296,527,735,.717,303,1086,423,203,96,419,604
41,UC-Davis,30,11,19,.367,-5.29,-0.97,6,10,8,7,3,11,1914,1980,,1225,697,1608,.433,164,463,.354,356,557,.639,255,1033,342,186,49,427,531
